Membership No  Date Joined  Active  
    24423      2017-11-2    no    
    22786      2019-2-13    no    
    55122      2016-12-21   no    
    89733      2015-6-16    no    
    88732      2016-12-16   no    
    34419      2018-9-23    no    
    85958      2016-4-22    no    
    21406      2020-5-14    no    
    23117      2019-2-1     no    
    71822      2017-4-8     no    
    52836      2020-8-17    no    
    70296      2019-8-1     no    
    24514      2018-1-3     no    
    80425      2017-12-16   no    
    46978      2019-9-9     no    
    47998      2020-7-9     no    
